API명칭,API ID,EPIC,METHOD,SUB-EPIC,URL,개발 상황,권한,사람,설명,작성완료
내 프로필 수정,,마이페이지,PATCH,프로필,/api/users/me,연동 필요,회원,이태연,"프로필 이미지, 비밀번호 등 내 정보 수정",Yes
수강 리뷰 작성,,커뮤니티,POST,리뷰,/api/courses/{courseId}/reviews,연동 필요,수강생,강현 유,수강 완료 강의에 대한 별점/리뷰 등록,Yes
강의 등록,,강의,POST,강의,/api/courses,연동 필요,강사,종준 박,"새 강의 등록 (강의명, 과목, 설명, 커리큘럼, 가격 등)",Yes
리뷰 목록 조회,,커뮤니티,GET,리뷰,/api/courses/{courseId}/reviews,연동 필요,회원,강현 유,강의별 리뷰 조회(본인 글 최상단 다중 정렬),Yes
내 수강 강의 목록 조회,,마이페이지,GET,내강의,/api/users/me/courses,연동 필요,회원,이태연,"본인 수강 중 강의 목록과 진도율, 이어보기 정보 조회",Yes
공개/비공개 전환,,강의,PATCH,강의,/api/courses/{courseId}/status,연동 필요,"강사, 관리자",종준 박,"강의 공개(PUBLISHED) / 비공개(DRAFT) 상태 전환 - 강사(본인 강의), 관리자(전체 강의)",No
관리자 신고 목록,,신고,GET,관리자,/api/reports,연동 필요,관리자,강현 유,5회 이상 누적 신고 콘텐츠 목록 조회,Yes
장바구니 항목 삭제,,결제/주문/구독,DELETE,장바구니,/api/cart/{cartItemId},연동 필요,회원,종준 박,장바구니 특정 항목 삭제,Yes
"커뮤니티 글 작성(자유, 질문)",,커뮤니티,POST,게시글,/api/posts,연동 필요,회원,강현 유,"자유/질문 게시판 글 작성(과목 필수, 강의 코드 선택)",Yes
댓글 삭제,,커뮤니티,DELETE,댓글,/api/comments/{commentId},연동 필요,회원,강현 유,본인 댓글 삭제(대댓글 존재시 내용만 마스킹),Yes
내 결제 내역 조회,,마이페이지,GET,결제,/api/payments/me,연동 필요,회원,이태연,본인의 전체 결제 내역 조회,Yes
신고 상태 처리,,신고,PATCH,관리자,/api/reports/{reportId}/action,연동 필요,관리자,강현 유,관리자의 신고 삭제/반려 처리,Yes
구독 취소,,결제/주문/구독,DELETE,구독,/api/subscriptions/{subscriptionId},연동 필요,회원,종준 박,구독 취소 (만료일까지 서비스 유지),Yes
내 활동 조회,,마이페이지,GET,활동,/api/users/me/activities,연동 필요,회원,이태연,"본인이 작성한 리뷰, 게시글, 댓글 목록 조회",Yes
다중 파일 업로드,,공통,POST,파일,/api/files/upload,연동 필요,회원,강현 유,"게시글, 댓글용 이미지 업로드 및 url 변환",Yes
전체 공지사항 작성,,공지/알림,POST,공지사항,/api/notices,연동 필요,관리자,강현 유,전체 공지 등록,Yes
일별 순공시간 조회,,순공시간,GET,통계,/api/study-timers/stats/daily,연동 필요,"수강생, 회원",이태연,특정 기간의 일별 순공시간 합계를 조회,Yes
